**********TEST ON************************Sun Also Rises**************('[0.9999246]', 'book i ? 1 ? ? was once ? ? ? of ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.00108632]', 'when he stopped drinking and ? the leather bottle down a few drops ran down his chin ? ? ? ? ? ? ? ?')
('[1.7821789e-05]', '“no no ” several ? said ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7911196e-05]', '“not like that ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” one ? the bottle away from the owner who was himself about to give a demonstration ? ? ? ? ? ? ? ?')
('[0.798733]', 'at full ? length and raised it high up ? the leather bag with his hand so the stream of wine ? into his mouth')
('[2.8669834e-05]', 'he held the bag out there the wine making a flat hard ? into his mouth and he kept on swallowing smoothly and ? ?')
('[0.18742159]', '? ” the owner of the bottle shouted ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? wine is that ” the ? ? his little finger at him and smiled at us with his eyes ? ? ? ? ?')
('[0.6497225]', 'then he bit the stream off sharp made a quick lift with the wine bag and lowered it down to the owner ? ? ?')
('[2.8669834e-05]', 'he winked at us ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.00783637]', 'the owner shook the wine skin sadly ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.00048298]', 'we passed through a town and stopped in front of the ? and the driver took on several ? ? ? ? ? ? ?')
('[0.6497225]', 'then we started on again and outside the town the road ? to mount ? ? ? ? ? ? ? ? ? ? ?')
('[0.00048298]', 'we were going through farming country with ? hills that ? down into the fields ? ? ? ? ? ? ? ? ? ?')
('[0.00783637]', 'the grain fields went up the ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[5.6385994e-05]', 'now as we went higher there was a wind blowing the grain ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.00783637]', 'the road was white and dusty and the dust rose under the wheels and hung in the air behind us ? ? ? ? ?')
('[0.00783637]', 'the road climbed up into the hills and left the rich grain fields below ? ? ? ? ? ? ? ? ? ? ?')
('[5.6385994e-05]', 'now there were only patches of grain on the bare ? and on each side of the water ? ? ? ? ? ? ?')
('[0.9343312]', 'to give room to pass to a long string of six mules following one after the other ? a high ? wagon ? with ?')
('[0.00783637]', 'the wagon and the mules were covered with dust ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.00074989]', 'close behind was another string of mules and another wagon ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[6.943941e-05]', 'this was ? with lumber and the ? driving the mules leaned back and put on the thick wooden ? as we passed ? ?')
('[0.36592424]', 'up here the country was quite barren and the hills were ? and hard baked clay furrowed by the rain ? ? ? ? ?')
('[0.00048298]', 'we came around a curve into a town and on both sides opened out a sudden green valley ? ? ? ? ? ? ?')
('[0.9962807]', 'a stream went through the ? of the town and fields of grapes touched the houses ? ? ? ? ? ? ? ? ?')
('[0.99994564]', 'many of the passengers got down and a lot of the baggage was ? from the roof from under the big ? and lifted down')
('[1.835823e-05]', 'bill and i got down and went into the ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.9928492]', 'white wood and ? of canvas rope ? shoes and hams and ? of ? and white ? and long ? hanging from the roof')
('[2.5957823e-05]', 'it was cool and dusky and we stood in front of a long wooden ? with two women behind it serving drinks ? ? ?')
('[1.8030405e-05]', 'behind them were ? stacked with ? and ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.00048298]', 'we each had an ? and paid forty ? for the two drinks ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.9542121]', 'i gave the woman fifty ? to make a tip and she gave me back the ? piece thinking i had ? the price ?')
('[5.4717064e-05]', 'two of our ? came in and insisted on buying a drink ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.9820455]', 'so they bought a drink and then we bought a drink and then they slapped us on the back and bought another drink ? ?')
('[0.6497225]', 'then we bought and then we all went out into the sunlight and the heat and climbed back on top of the bus ? ?')
('[0.9975661]', 'room now for every one to sit on the seat and the ? who had been lying on the tin roof now sat between us')
('[0.00783637]', 'the woman who had been serving drinks came out ? her hands on her apron and talked to somebody inside the bus ? ? ?')
('[0.6497225]', 'then the driver came out swinging two flat leather mail ? and climbed up and everybody waving we started off ? ? ? ? ?')
('[0.00783637]', 'the road left the green valley at once and we were up in the hills again ? ? ? ? ? ? ? ? ?')
('[1.835823e-05]', 'bill and the wine bottle ? were having a conversation ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.9962807]', 'a man leaned over from the other side of the seat and asked in english ? americans ” “sure ? ? ? ? ? ?')
('[1.7762184e-05]', '” “i been there ” he said ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.00023898]', '“forty years ago ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” he was an old man as brown as the others with the stubble of a white beard ? ? ? ? ? ? ?')
('[2.1576881e-05]', '“how was it ” “what you say ” “how was america ” “oh i was in california ? ? ? ? ? ? ? ?')
('[2.5957823e-05]', 'it was fine ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” “why did you leave ” “what you say ” “why did you come back here ” “oh i come back to get married ?')
('[0.9542121]', 'i was going to go back but my wife she ? like to travel ? ? ? ? ? ? ? ? ? ? ?')
('[0.99458444]', 'where you from ” ? city ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” “i been there ” he said ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7791986e-05]', '“i been in chicago st ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? kansas city denver ? ? salt lake city ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” he named them carefully ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[2.1576881e-05]', '“how long were you over ” ? years ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.6497225]', 'then i come back and got married ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” “have a drink ” “all right ” he said ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7821789e-05]', '“you ? get this in america eh ” ? plenty if you can pay for it ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” “what you come over here for ” ? going to the ? at ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” “you like the bull ? ” “sure ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? you ” “yes ” he said ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7791986e-05]', '“i guess i like them ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” then after a little “where you go now ” “up to ? to fish ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” “well ” he said “i hope you catch something ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” he shook hands and turned around to the back seat again ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.00783637]', 'the other ? had been impressed ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[2.8669834e-05]', 'he sat back comfortably and smiled at me when i turned around to look at the country ? ? ? ? ? ? ? ?')
('[4.1157007e-05]', 'but the effort of talking american seemed to have tired him ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[2.8669834e-05]', 'he did not say anything after that ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.00783637]', 'the bus climbed steadily up the road ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.00783637]', 'the country was barren and ? stuck up through the clay ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.0001685]', 'there was no grass beside the road ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.99992454]', 'looking back we could see the country spread out below ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[3.644824e-05]', 'far back the fields were squares of green and brown on the ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.97490555]', 'making the horizon were the brown mountains ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[6.681681e-05]', 'they were strangely shaped ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.9806812]', 'as we climbed higher the horizon kept changing ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.9806812]', 'as the bus ground slowly up the road we could see other mountains coming up in the south ? ? ? ? ? ? ?')
('[0.6497225]', 'then the road came over the crest ? out and went into a forest ? ? ? ? ? ? ? ? ? ? ?')
('[2.5957823e-05]', 'it was a forest of cork oaks and the sun came through the trees in patches and there were cattle ? back in the trees')
('[1.8060207e-05]', 'road came out and turned along a rise of land and out ahead of us was a rolling green plain with dark mountains beyond it')
('[2.0444393e-05]', 'these were not like the brown heat baked mountains we had left behind ? ? ? ? ? ? ? ? ? ? ? ?')
('[2.0444393e-05]', 'these were ? and there were clouds coming down from them ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.00783637]', 'the green plain stretched off ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.9998874]', 'by fences and the white of the road showed through the trunks of a double line of trees that crossed the plain toward the north')
('[0.00032681]', 'on the plain and away off on the shoulder of the first dark mountain was the gray metal ? roof of the ? of ?')
('[0.18742159]', '? ? ” i said ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[2.592802e-05]', '“where ” ? off there where the mountain ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” ? cold up here ” bill said ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? high ” i said ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7940998e-05]', '“it must be twelve hundred ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” ? awful cold ” bill said ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.00783637]', 'the bus ? down onto the straight line of road that ran to ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.00048298]', 'we passed a ? and crossed a bridge over a stream ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.00783637]', 'the houses of ? were along both sides of the road ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.0001685]', 'there were no side streets ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.00048298]', 'we passed the church and the school yard and the bus stopped ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.00048298]', 'we got down and the driver handed down our bags and the ? case ? ? ? ? ? ? ? ? ? ? ?')
('[0.9962807]', 'a ? in his ? hat and yellow leather cross ? came up ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? in there ” he pointed to the ? case ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.9542121]', 'i opened it and showed him ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[2.8669834e-05]', 'he asked to see our fishing ? and i got them out ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[2.8669834e-05]', 'he looked at the date and then waved us on ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.0001491]', '“is that all right ” i asked ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '“yes ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.10060909]', 'of course ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” we went up the street past the whitewashed stone houses families sitting in their ? watching us to the ? ? ? ? ?')
('[0.00783637]', 'the fat woman who ran the ? came out from the kitchen and shook hands with us ? ? ? ? ? ? ? ?')
('[0.00170535]', 'she took off her spectacles ? them and put them on again ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[2.5957823e-05]', 'it was cold in the ? and the wind was starting to blow outside ? ? ? ? ? ? ? ? ? ? ?')
('[0.00783637]', 'the woman sent a girl up stairs with us to show the room ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.0001685]', 'there were two beds a ? a clothes chest and a big framed steel ? of ? ? de ? ? ? ? ? ?')
('[0.00783637]', 'the wind was blowing against the shutters ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.00783637]', 'the room was on the north side of the ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.00048298]', 'we washed put on ? and came down stairs into the dining room ? ? ? ? ? ? ? ? ? ? ? ?')
('[2.5957823e-05]', 'it had a stone floor low ceiling and was oak ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.00783637]', 'the shutters were up and it was so cold you could see your breath ? ? ? ? ? ? ? ? ? ? ?')
('[1.7940998e-05]', '“my god ” said bill ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7940998e-05]', '“it ? be this cold to morrow ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? not going to ? a stream in this weather ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” there was an upright piano in the far corner of the room beyond the wooden tables and bill went over and started to play')
('[1.7791986e-05]', '“i got to keep warm ” he said ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.9542121]', 'i went out to find the woman and ask her how much the room and board was ? ? ? ? ? ? ? ?')
('[0.00170535]', 'she put her hands under her apron and looked away from me ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” “why we only paid that in ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” she did not say anything just took off her glasses and ? them on her apron ? ? ? ? ? ? ? ?')
('[0.18742159]', '? too much ” i said ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7940998e-05]', '“we ? pay more than that at a big hotel ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” ? put in a bathroom ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” ? you got anything ? ” “not in the summer ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[5.6385994e-05]', 'now is the big season ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” we were the only people in the ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.94989705]', 'well i thought ? only a few days ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.0001491]', '“is the wine included ” “oh yes ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” “well ” i said ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? all right ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” i went back to bill ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[2.8669834e-05]', 'he blew his breath at me to show how cold it was and went on playing ? ? ? ? ? ? ? ? ?')
('[0.9542121]', 'i sat at one of the tables and looked at the pictures on the wall ? ? ? ? ? ? ? ? ? ?')
('[0.0001685]', 'there was one ? of rabbits dead one of ? also dead and one ? of dead ? ? ? ? ? ? ? ?')
('[0.00783637]', 'the panels were all dark and smoky looking ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.0001685]', 'there was a cupboard full of ? bottles ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.9542121]', 'i looked at them all ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.835823e-05]', 'bill was still playing ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[2.1576881e-05]', '“how about a hot ? punch ” he said ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.8447638e-05]', '“this ? going to keep me warm ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” i went out and told the woman what a ? punch was and how to make it ? ? ? ? ? ? ?')
('[0.9372498]', 'in a few minutes a girl brought a stone pitcher steaming into the room ? ? ? ? ? ? ? ? ? ? ?')
('[1.835823e-05]', 'bill came over from the piano and we drank the hot punch and listened to the wind ? ? ? ? ? ? ? ?')
('[2.6136637e-05]', '“there ? too much ? in that ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” i went over to the cupboard and brought the ? bottle and poured a half ? into the pitcher ? ? ? ? ?')
('[0.18742159]', '? action ” said bill ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7940998e-05]', '“it beats ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” the girl came in and laid the table for supper ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7940998e-05]', '“it blows like hell up here ” bill said ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.00783637]', 'the girl brought in a big bowl of hot vegetable ? and the wine ? ? ? ? ? ? ? ? ? ? ?')
('[0.00048298]', 'we had fried trout afterward and some sort of a stew and a big bowl full of wild ? ? ? ? ? ? ?')
('[0.00048298]', 'we did not lose money on the wine and the girl was shy but nice about bringing it ? ? ? ? ? ? ?')
('[0.00783637]', 'the old woman looked in once and counted the empty bottles ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.9969765]', 'after supper we went up stairs and smoked and read in bed to keep warm ? ? ? ? ? ? ? ? ? ?')
('[2.5868416e-05]', 'once in the night i woke and heard the wind blowing ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[2.5957823e-05]', 'it felt good to be warm and in bed ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? ? when i woke in the morning i went to the window and looked out ? ? ? ? ? ? ? ? ?')
('[2.5957823e-05]', 'it had cleared and there were no clouds on the mountains ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.9173697]', 'outside under the window were some ? and an old ? the wood of the roof cracked and split by the weather ? ? ?')
('[2.5957823e-05]', 'it must have been left from the days before the motor ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.9962807]', 'a ? hopped up on one of the ? and then to the roof of the ? ? ? ? ? ? ? ? ?')
('[2.8669834e-05]', 'he jerked his head at the other ? below and when i waved at him he bounded down ? ? ? ? ? ? ?')
('[1.835823e-05]', 'bill was still sleeping so i dressed put on my shoes outside in the hall and went down stairs ? ? ? ? ? ?')
('[4.4822693e-05]', 'no one was stirring down stairs so i ? the door and went out ? ? ? ? ? ? ? ? ? ? ?')
('[2.5957823e-05]', 'it was cool outside in the early morning and the sun had not yet dried the dew that had come when the wind died down')
('[0.00783637]', 'the shed behind the ? and found a sort of ? and went down toward the stream to try and ? some ? for ?')
('[0.00783637]', 'the stream was clear and shallow but it did not look ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.00032681]', 'on the grassy bank where it was damp i drove the ? into the earth and loosened a ? of sod ? ? ? ?')
('[0.0001685]', 'there were ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[6.681681e-05]', 'they slid out of sight as i lifted the sod and i dug carefully and got a good many ? ? ? ? ? ?')
('[7.519126e-05]', 'digging at the edge of the damp ground i filled two empty tobacco ? with ? and ? ? onto them ? ? ? ?')
('[0.00783637]', 'the ? watched me ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[2.0384789e-05]', 'into the ? the woman was down in the kitchen and i asked her to get coffee for us and that we wanted a lunch')
('[1.835823e-05]', 'bill was awake and sitting on the edge of the bed ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7791986e-05]', '“i saw you out of the window ” he said ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? want to ? you ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.991156]', 'what were you doing burying your money ” “you ? ? ” ? working for the common good splendid ? ? ? ? ? ?')
('[0.9542121]', 'i want you to do that every morning ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” “come on ” i said ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.00102106]', '“get up ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” “what get up i never get up ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” he climbed into bed and pulled the sheet up to his chin ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? and ? me into getting up ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” i went on looking for the ? and putting it all together in the ? bag ? ? ? ? ? ? ? ?')
('[0.18742159]', '? you interested ” bill asked ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? going down and eat ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” ? why ? you say eat i thought you just wanted me to get up for fun ? ? ? ? ? ? ?')
('[0.00028768]', 'eat fine ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[5.6385994e-05]', 'now ? reasonable ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.00010324]', 'you go out and ? some more ? and ? be right down ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” “oh go to hell ” ? for the good of all ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” bill stepped into his ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? irony and pity ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” i started out of the room with the ? bag the ? and the ? case ? ? ? ? ? ? ? ?')
('[0.18742159]', '? come back ” i put my head in the door ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? you going to show a little irony and pity ” i ? my nose ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? not irony ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” as i went down stairs i heard bill singing ? and pity ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.00108632]', 'when ? feeling ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.9998945]', 'oh give them irony and give them pity ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.9998945]', 'oh give them irony ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.00108632]', 'when ? feeling ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.99248505]', 'just a little irony ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.99248505]', 'just a little pity ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” he kept on singing until he came down stairs ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.00783637]', 'the tune was “the bells are ringing for me and my ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” i was reading a week old spanish paper ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? all this irony and pity ” “what ? you know about irony and pity ” “no ? ? ? ? ? ? ? ?')
('[0.9998443]', 'who got it up ” ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? mad about it in new york ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? just like the ? used to be ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” the girl came in with the coffee and ? toast ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.8940492]', 'or rather it was bread ? and ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.7682164]', '“ask her if ? got any jam ” bill said ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? ironical with her ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” “have you got any jam ” ? not ironical ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.9542121]', 'i wish i could talk spanish ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” the coffee was good and we drank it out of big ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.00783637]', 'the girl brought in a glass dish of ? jam ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[7.390976e-05]', '“thank you ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” ? ? not the way ” bill said ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.00208741]', '“say something ironical ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.99970007]', 'make some crack about ? de ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” “i could ask her what kind of a jam they think ? gotten into in the ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” “poor ” said bill ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[2.3573637e-05]', '“very poor ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.00010324]', 'you ? do it ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? all ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.00010324]', 'you ? understand irony ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
